Partition_File,BayesianNetwork,MultiLayerPerceptron,AdaBoost,KNN,RandomForest,SVM,NaiveBayes,LDA,Maximum
Partition_103.csv,0.81,0.641,0.76636,0.76673,0.80846,0.5,0.75073,0.74604,0.81
Partition_104.csv,0.802,0.66244,0.7901,0.76844,0.80099,0.5,0.73229,0.70138,0.802
Partition_105.csv,0.789,0.64166,0.76228,0.75869,0.79113,0.5,0.73662,0.68949,0.79113
Partition_106.csv,0.787,0.64065,0.76597,0.75288,0.7913,0.5,0.73379,0.68727,0.7913
Partition_107.csv,0.792,0.64807,0.73545,0.76414,0.78971,0.5,0.74227,0.68859,0.792
Partition_108.csv,0.804,0.64642,0.79444,0.75828,0.79009,0.5,0.74222,0.67758,0.804
Partition_109.csv,0.799,0.63392,0.76963,0.76429,0.77803,0.5,0.76343,0.70626,0.799
Partition_110.csv,0.797,0.64283,0.75657,0.7702,0.78747,0.5,0.76364,0.71616,0.797
Partition_111.csv,0.808,0.63604,0.7564,0.77677,0.77314,0.5,0.76517,0.71898,0.808
Partition_112.csv,0.788,0.6293,0.75293,0.76835,0.78512,0.5,0.75263,0.73342,0.788
Partition_113.csv,0.778,0.64745,0.82037,0.77386,0.77003,0.5,0.74375,0.74958,0.82037
Partition_114.csv,0.796,0.6407,0.77521,0.79261,0.77711,0.5,0.75305,0.7553,0.796
Partition_115.csv,0.802,0.67494,0.7784,0.79005,0.77634,0.5,0.76084,0.74011,0.802
Partition_116.csv,0.799,0.6435,0.74983,0.79724,0.78307,0.5,0.7619,0.72352,0.799
Partition_117.csv,0.796,0.66979,0.75643,0.80164,0.78389,0.5,0.75805,0.71895,0.80164
Partition_118.csv,0.81,0.66117,0.80685,0.80169,0.79437,0.5,0.76902,0.69762,0.81
Partition_119.csv,0.813,0.64604,0.80986,0.79159,0.79354,0.5,0.7605,0.70002,0.813
Partition_120.csv,0.81,0.64396,0.8,0.78333,0.79885,0.5,0.75833,0.67604,0.81
Partition_121.csv,0.807,0.65717,0.77431,0.7705,0.78643,0.5,0.75841,0.68575,0.807
Partition_122.csv,0.816,0.62481,0.75197,0.77357,0.78373,0.5,0.75191,0.68516,0.816
Partition_123.csv,0.808,0.66615,0.78809,0.78091,0.78552,0.5,0.75318,0.69834,0.808
Partition_124.csv,0.815,0.62728,0.79309,0.78712,0.77965,0.5,0.7725,0.69993,0.815
Partition_125.csv,0.81,0.61616,0.76474,0.78592,0.77181,0.5,0.78663,0.68059,0.81
Partition_126.csv,0.818,0.62139,0.78814,0.78516,0.77713,0.5,0.79206,0.67949,0.818
Partition_127.csv,0.813,0.6409,0.78462,0.79977,0.78495,0.5,0.77248,0.68965,0.813
Partition_128.csv,0.816,0.64107,0.76122,0.78874,0.77287,0.5,0.76758,0.66227,0.816
Partition_129.csv,0.799,0.63177,0.75952,0.77935,0.75943,0.5,0.76534,0.6668,0.799
Partition_130.csv,0.815,0.64984,0.78132,0.78791,0.77604,0.5,0.78297,0.67582,0.815
Partition_131.csv,0.806,0.65739,0.77405,0.78583,0.77135,0.5,0.77569,0.70466,0.806
Partition_132.csv,0.806,0.64812,0.73857,0.78187,0.75868,0.5,0.76206,0.68972,0.806
Partition_133.csv,0.795,0.65504,0.7821,0.77262,0.76075,0.5,0.76894,0.69948,0.795
Partition_134.csv,0.788,0.65602,0.76893,0.78579,0.75235,0.5,0.75963,0.72868,0.788
Partition_135.csv,0.802,0.65228,0.73043,0.7887,0.75372,0.5,0.76092,0.72739,0.802
Partition_136.csv,0.815,0.64477,0.79138,0.8002,0.78491,0.5,0.76577,0.74096,0.815
Partition_137.csv,0.811,0.6457,0.80346,0.78749,0.77022,0.5,0.76018,0.73651,0.811
Partition_138.csv,0.815,0.64538,0.80487,0.77295,0.76333,0.5,0.76522,0.74653,0.815
Partition_139.csv,0.814,0.63975,0.82215,0.77444,0.76717,0.5,0.7651,0.74668,0.82215
Partition_140.csv,0.814,0.63,0.77619,0.7631,0.76333,0.5,0.76131,0.72857,0.814
Partition_141.csv,0.812,0.62746,0.79532,0.77492,0.77426,0.5,0.75845,0.71548,0.812
Partition_142.csv,0.821,0.61835,0.76429,0.77575,0.7763,0.5,0.7425,0.73952,0.821
Partition_143.csv,0.823,0.65277,0.79603,0.7723,0.76281,0.5,0.74369,0.75103,0.823
Partition_144.csv,0.801,0.66958,0.74438,0.77865,0.77223,0.5,0.74159,0.6973,0.801
Partition_145.csv,0.799,0.6555,0.78921,0.77548,0.7644,0.5,0.73794,0.70857,0.799
Partition_146.csv,0.799,0.62433,0.77951,0.77662,0.75207,0.5,0.73283,0.72343,0.799
Partition_147.csv,0.798,0.62887,0.79427,0.77475,0.76404,0.5,0.73735,0.72713,0.798
Partition_148.csv,0.798,0.61971,0.76911,0.76822,0.76856,0.5,0.7346,0.73935,0.798
Partition_149.csv,0.814,0.62399,0.80637,0.77811,0.7586,0.5,0.73857,0.75567,0.814
Partition_150.csv,0.8,0.62947,0.77693,0.774,0.7598,0.5,0.732,0.74333,0.8
