Partition_File,BayesianNetwork,MultiLayerPerceptron,AdaBoost,KNN,RandomForest,SVM,NaiveBayes,LDA,Maximum
Partition_111.csv,0.808,0.67753,0.75741,0.77677,0.77262,0.5,0.76517,0.71898,0.808
Partition_112.csv,0.788,0.68689,0.75236,0.76835,0.79804,0.5,0.75263,0.73342,0.79804
Partition_113.csv,0.778,0.61787,0.82037,0.77386,0.80808,0.5,0.74375,0.74958,0.82037
Partition_114.csv,0.796,0.62085,0.77521,0.79261,0.79968,0.5,0.75305,0.7553,0.79968
Partition_115.csv,0.802,0.64043,0.77875,0.79005,0.78771,0.5,0.76084,0.74011,0.802
Partition_116.csv,0.799,0.66085,0.74983,0.79724,0.79212,0.5,0.7619,0.72352,0.799
Partition_117.csv,0.796,0.63041,0.75643,0.80164,0.77436,0.5,0.75805,0.71895,0.80164
Partition_118.csv,0.81,0.65576,0.80415,0.80169,0.78752,0.5,0.76902,0.69762,0.81
Partition_119.csv,0.813,0.6526,0.81298,0.79159,0.81404,0.5,0.7605,0.70002,0.81404
Partition_120.csv,0.81,0.57396,0.8,0.78333,0.77031,0.5,0.75833,0.67604,0.81
Partition_121.csv,0.807,0.67284,0.77848,0.7705,0.78243,0.5,0.75841,0.68575,0.807
Partition_122.csv,0.816,0.69078,0.74697,0.77357,0.78041,0.5,0.75191,0.68516,0.816
Partition_123.csv,0.808,0.62062,0.78241,0.78091,0.78883,0.5,0.75318,0.69834,0.808
Partition_124.csv,0.815,0.57913,0.79725,0.78712,0.77423,0.5,0.7725,0.69993,0.815
Partition_125.csv,0.81,0.5715,0.76474,0.78592,0.7706,0.5,0.78663,0.68059,0.81
Partition_126.csv,0.818,0.66202,0.78814,0.78516,0.75412,0.5,0.79206,0.67949,0.818
Partition_127.csv,0.813,0.59645,0.78462,0.79977,0.81108,0.5,0.77248,0.68965,0.813
Partition_128.csv,0.816,0.67317,0.76122,0.78874,0.78139,0.5,0.76758,0.66227,0.816
Partition_129.csv,0.799,0.61268,0.75952,0.77935,0.75472,0.5,0.76534,0.6668,0.799
Partition_130.csv,0.815,0.62473,0.78132,0.78791,0.8033,0.5,0.78297,0.67582,0.815
Partition_131.csv,0.806,0.67564,0.77405,0.78583,0.78308,0.5,0.77569,0.70466,0.806
Partition_132.csv,0.806,0.62777,0.73857,0.78187,0.73752,0.5,0.76206,0.68972,0.806
Partition_133.csv,0.795,0.64037,0.77221,0.77262,0.75207,0.5,0.76894,0.69948,0.795
Partition_134.csv,0.788,0.66839,0.76842,0.78579,0.76572,0.5,0.75963,0.72868,0.788
Partition_135.csv,0.802,0.6318,0.73043,0.7887,0.78269,0.5,0.76092,0.72739,0.802
Partition_136.csv,0.815,0.65194,0.79138,0.8002,0.761,0.5,0.76577,0.74096,0.815
Partition_137.csv,0.811,0.6546,0.80298,0.78749,0.78543,0.5,0.76018,0.73651,0.811
Partition_138.csv,0.815,0.58923,0.80487,0.77295,0.77231,0.5,0.76522,0.74653,0.815
Partition_139.csv,0.814,0.63274,0.82215,0.77444,0.77301,0.5,0.7651,0.74668,0.82215
Partition_140.csv,0.814,0.65238,0.77619,0.7631,0.74643,0.5,0.76131,0.72857,0.814
Partition_141.csv,0.812,0.66056,0.79532,0.77492,0.80413,0.5,0.75845,0.71548,0.812
Partition_142.csv,0.821,0.6231,0.76429,0.77575,0.76952,0.5,0.7425,0.73952,0.821
Partition_143.csv,0.823,0.64044,0.79603,0.7723,0.74536,0.5,0.74369,0.75103,0.823
Partition_144.csv,0.801,0.70476,0.7431,0.77865,0.76698,0.5,0.74159,0.6973,0.801
Partition_145.csv,0.799,0.63087,0.7873,0.77548,0.72,0.5,0.73794,0.70857,0.799
Partition_146.csv,0.799,0.60232,0.78003,0.77662,0.76013,0.5,0.73283,0.72343,0.799
Partition_147.csv,0.798,0.58733,0.79133,0.77475,0.75287,0.5,0.73735,0.72713,0.798
Partition_148.csv,0.798,0.60797,0.76978,0.76822,0.76492,0.5,0.7346,0.73935,0.798
Partition_149.csv,0.814,0.71267,0.80584,0.77811,0.76602,0.5,0.73857,0.75567,0.814
Partition_150.csv,0.8,0.52267,0.77333,0.774,0.74,0.5,0.732,0.74333,0.8
